"","ID","class","land_cover","Year"
"1","C100-S1","Developed, Open Space",80,2013
"2","C100-S1","Developed, Open Space",80,2014
"3","C100-S1","Developed, Open Space",80,2015
"4","C100-S1","Developed, Open Space",79,2016
"5","C100-S1","Developed, Open Space",79,2017
"6","C100-S1","Developed, Open Space",79,2018
"7","C100-S1","Developed, Open Space",78,2019
"8","C100-S1","Developed, Open Space",78,2020
"9","C100-S1","Developed, Open Space",78,2021
"10","C100-S1","Developed, Open Space",78,2022
"11","C100-S2","Developed, Open Space",169,2013
"12","C100-S2","Developed, Open Space",169,2014
"13","C100-S2","Developed, Open Space",169,2015
"14","C100-S2","Developed, Open Space",169,2016
"15","C100-S2","Developed, Open Space",169,2017
"16","C100-S2","Developed, Open Space",169,2018
"17","C100-S2","Developed, Open Space",169,2019
"18","C100-S2","Developed, Open Space",169,2020
"19","C100-S2","Developed, Open Space",169,2021
"20","C100-S2","Developed, Open Space",169,2022
"21","C100-S3","Developed, Open Space",148,2013
"22","C100-S3","Developed, Open Space",148,2014
"23","C100-S3","Developed, Open Space",148,2015
"24","C100-S3","Developed, Open Space",148,2016
"25","C100-S3","Developed, Open Space",148,2017
"26","C100-S3","Developed, Open Space",148,2018
"27","C100-S3","Developed, Open Space",148,2019
"28","C100-S3","Developed, Open Space",148,2020
"29","C100-S3","Developed, Open Space",148,2021
"30","C100-S3","Developed, Open Space",148,2022
"31","C105-S1","Developed, Open Space",946,2013
"32","C105-S1","Developed, Open Space",951,2014
"33","C105-S1","Developed, Open Space",955,2015
"34","C105-S1","Developed, Open Space",960,2016
"35","C105-S1","Developed, Open Space",965,2017
"36","C105-S1","Developed, Open Space",969,2018
"37","C105-S1","Developed, Open Space",974,2019
"38","C105-S1","Developed, Open Space",979,2020
"39","C105-S1","Developed, Open Space",983,2021
"40","C105-S1","Developed, Open Space",988,2022
"41","C105-S2","Developed, Open Space",327,2013
"42","C105-S2","Developed, Open Space",326,2014
"43","C105-S2","Developed, Open Space",324,2015
"44","C105-S2","Developed, Open Space",322,2016
"45","C105-S2","Developed, Open Space",321,2017
"46","C105-S2","Developed, Open Space",319,2018
"47","C105-S2","Developed, Open Space",317,2019
"48","C105-S2","Developed, Open Space",316,2020
"49","C105-S2","Developed, Open Space",314,2021
"50","C105-S2","Developed, Open Space",312,2022
"51","C108-S1","Developed, Open Space",139,2013
"52","C108-S1","Developed, Open Space",139,2014
"53","C108-S1","Developed, Open Space",139,2015
"54","C108-S1","Developed, Open Space",140,2016
"55","C108-S1","Developed, Open Space",140,2017
"56","C108-S1","Developed, Open Space",140,2018
"57","C108-S1","Developed, Open Space",140,2019
"58","C108-S1","Developed, Open Space",140,2020
"59","C108-S1","Developed, Open Space",140,2021
"60","C108-S1","Developed, Open Space",140,2022
"61","C108-S2","Developed, Open Space",129,2013
"62","C108-S2","Developed, Open Space",129,2014
"63","C108-S2","Developed, Open Space",129,2015
"64","C108-S2","Developed, Open Space",129,2016
"65","C108-S2","Developed, Open Space",129,2017
"66","C108-S2","Developed, Open Space",129,2018
"67","C108-S2","Developed, Open Space",129,2019
"68","C108-S2","Developed, Open Space",129,2020
"69","C108-S2","Developed, Open Space",129,2021
"70","C108-S2","Developed, Open Space",129,2022
"71","C108-S3","Developed, Open Space",128,2013
"72","C108-S3","Developed, Open Space",129,2014
"73","C108-S3","Developed, Open Space",130,2015
"74","C108-S3","Developed, Open Space",131,2016
"75","C108-S3","Developed, Open Space",132,2017
"76","C108-S3","Developed, Open Space",133,2018
"77","C108-S3","Developed, Open Space",135,2019
"78","C108-S3","Developed, Open Space",136,2020
"79","C108-S3","Developed, Open Space",137,2021
"80","C108-S3","Developed, Open Space",138,2022
"81","C108-S4","Developed, Open Space",77,2013
"82","C108-S4","Developed, Open Space",77,2014
"83","C108-S4","Developed, Open Space",77,2015
"84","C108-S4","Developed, Open Space",77,2016
"85","C108-S4","Developed, Open Space",77,2017
"86","C108-S4","Developed, Open Space",77,2018
"87","C108-S4","Developed, Open Space",77,2019
"88","C108-S4","Developed, Open Space",77,2020
"89","C108-S4","Developed, Open Space",77,2021
"90","C108-S4","Developed, Open Space",77,2022
"91","C108-S6","Developed, Open Space",118,2013
"92","C108-S6","Developed, Open Space",118,2014
"93","C108-S6","Developed, Open Space",118,2015
"94","C108-S6","Developed, Open Space",118,2016
"95","C108-S6","Developed, Open Space",118,2017
"96","C108-S6","Developed, Open Space",118,2018
"97","C108-S6","Developed, Open Space",118,2019
"98","C108-S6","Developed, Open Space",118,2020
"99","C108-S6","Developed, Open Space",118,2021
"100","C108-S6","Developed, Open Space",118,2022
"101","C108-S7","Developed, Open Space",129,2013
"102","C108-S7","Developed, Open Space",129,2014
"103","C108-S7","Developed, Open Space",129,2015
"104","C108-S7","Developed, Open Space",129,2016
"105","C108-S7","Developed, Open Space",129,2017
